times,Cplex,Mosek,Scip,L0Bnb,SBnb,El0ps
0.010000000000000002,0.0,0.0,0.0,0.0,0.0,0.0
0.011364832126482092,0.0,0.0,0.0,0.0,0.0,0.0
0.012915940926311948,0.0,0.0,0.0,0.0,0.0,0.0
0.01467875003830949,0.0,0.0,0.0,0.0,0.0,0.0
0.01668215300119799,0.0,0.0,0.0,0.0,0.0,0.0
0.01895898683669047,0.0,0.0,0.0,0.0,0.0,0.0
0.021546570268717095,0.0,0.0,0.0,0.0,0.0,0.0
0.02448731540054199,0.0,0.0,0.0,0.0,0.0,0.0
0.027829422875537933,0.0,0.0,0.0,0.0,0.0,0.0
0.03162767191573691,0.0,0.0,0.0,0.0,0.0,0.0
0.03594431818738023,0.0,0.0,0.0,0.0,0.0,0.0
0.040850114210043344,0.0,0.0,0.0,0.0,0.0,0.0
0.04642546903447634,0.0,0.0,0.0,0.0,0.0,0.0
0.052761766197001604,0.0,0.0,0.0,0.0,0.0,0.0
0.0599628615525621,0.0,0.0,0.0,0.0,0.0,0.0
0.06814678553683556,0.0,0.0,0.0,0.0,0.0,0.0
0.07744767775855141,0.0,0.0,0.0,0.0,0.0,0.0
0.08801798563118175,0.0,0.0,0.0,0.0,0.0,0.0
0.10003096308094936,0.0,0.0,0.0,0.0,0.0,0.0
0.11368351028653174,0.0,0.0,0.0,0.0,0.0,0.0
0.12919940099556332,0.0,0.0,0.0,0.0,0.0,0.006666666666666667
0.14683295031566213,0.0,0.0,0.0,0.0,0.0,0.013333333333333334
0.16687318309735857,0.0,0.0,0.0,0.0,0.0,0.013333333333333334
0.18964857123131892,0.0,0.0,0.0,0.0,0.0,0.02
0.21553241750711208,0.0,0.0,0.0,0.0,0.0,0.03333333333333333
0.24494897427831788,0.0,0.0,0.0,0.0,0.0,0.03333333333333333
0.27838039722270624,0.0,0.0,0.0,0.0,0.0,0.04666666666666667
0.31637464817394584,0.0,0.0,0.0,0.0,0.0,0.05333333333333334
0.35955447655717304,0.0,0.0,0.0,0.0,0.0,0.05333333333333334
0.4086276266397412,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
0.4643984379003461,0.0,0.0,0.0,0.0,0.0,0.07333333333333333
0.5277810286537952,0.0,0.0,0.0,0.0,0.0,0.08666666666666667
0.5998142790192418,0.0,0.0,0.0,0.0,0.0,0.1
0.6816788588120573,0.0,0.0,0.0,0.0,0.006666666666666667,0.11333333333333333
0.7747165794570918,0.0,0.0,0.0,0.006666666666666667,0.013333333333333334,0.12
0.8804523871132274,0.0,0.0,0.0,0.006666666666666667,0.02666666666666667,0.14
1.0006193574902253,0.0,0.0,0.0,0.013333333333333334,0.04,0.15333333333333332
1.137187102038479,0.0,0.0,0.0,0.013333333333333334,0.04666666666666667,0.16
1.2923940511067968,0.0,0.0,0.0,0.02,0.04666666666666667,0.16666666666666666
1.468784143209287,0.0,0.0,0.0,0.02666666666666667,0.06,0.18666666666666668
1.6692485217612372,0.0,0.0,0.0,0.03333333333333333,0.06666666666666667,0.21333333333333335
1.8970729227194858,0.0,0.0,0.0,0.04666666666666667,0.08666666666666667,0.26
2.15599152984017,0.0,0.0,0.0,0.04666666666666667,0.1,0.28
2.450248180275083,0.0,0.0,0.0,0.04666666666666667,0.10666666666666667,0.3
2.7846659237044564,0.0,0.0,0.0,0.04666666666666667,0.13333333333333333,0.31333333333333335
3.1647260751236317,0.0,0.0,0.0,0.04666666666666667,0.14666666666666667,0.34
3.596658057008065,0.0,0.0,0.0,0.06,0.16666666666666666,0.36666666666666664
4.08754150342559,0.0,0.0,0.0,0.06666666666666667,0.18666666666666668,0.4066666666666667
4.6454222996460075,0.0,0.0,0.0,0.08,0.23333333333333334,0.44666666666666666
5.279444459209329,0.0,0.0,0.0,0.08666666666666667,0.26666666666666666,0.47333333333333333
6.000000000000003,0.0,0.0,0.0,0.09333333333333334,0.26666666666666666,0.49333333333333335
6.818899275889263,0.0,0.0,0.0,0.11333333333333333,0.2866666666666667,0.5266666666666666
7.749564555787172,0.0,0.0,0.0,0.12666666666666668,0.30666666666666664,0.5666666666666667
8.807250022985702,0.0,0.0,0.0,0.15333333333333332,0.34,0.5666666666666667
10.0092918007188,0.0,0.0,0.0,0.16,0.36,0.58
11.375392102014288,0.0,0.0,0.0,0.16666666666666666,0.4066666666666667,0.5933333333333334
12.92794216123027,0.0,0.0,0.0,0.18666666666666668,0.44,0.6
14.692389240325204,0.0,0.006666666666666667,0.0,0.20666666666666667,0.47333333333333333,0.62
16.697653725322777,0.0,0.02,0.0,0.20666666666666667,0.4866666666666667,0.6533333333333333
18.97660314944216,0.0,0.02,0.0,0.24666666666666667,0.5266666666666666,0.6666666666666666
21.56659091242816,0.0,0.03333333333333333,0.0,0.2866666666666667,0.5533333333333333,0.6866666666666666
24.510068526026018,0.0,0.03333333333333333,0.0,0.31333333333333335,0.56,0.6866666666666666
27.85528142068582,0.0,0.04,0.0,0.34,0.58,0.7133333333333334
31.65705971820098,0.0,0.04,0.0,0.37333333333333335,0.5933333333333334,0.7266666666666667
35.97771693153728,0.0,0.05333333333333334,0.0,0.4066666666666667,0.6133333333333333,0.76
40.88807132210138,0.0,0.05333333333333334,0.0,0.44666666666666666,0.6333333333333333,0.78
46.46860665513086,0.0,0.08,0.0,0.4533333333333333,0.6533333333333333,0.7866666666666666
52.810791378709105,0.0,0.08666666666666667,0.0,0.48,0.6533333333333333,0.7933333333333333
60.01857784856965,0.0,0.1,0.0,0.5066666666666667,0.6933333333333334,0.82
