grid_time,grid_iter,ProximalGradient_time_sopt,ProximalGradient_time_cost,ProximalGradient_iter_sopt,ProximalGradient_iter_cost,ProximalGradientScr_time_sopt,ProximalGradientScr_time_cost,ProximalGradientScr_iter_sopt,ProximalGradientScr_iter_cost,ProximalGradientRlx_time_sopt,ProximalGradientRlx_time_cost,ProximalGradientRlx_iter_sopt,ProximalGradientRlx_iter_cost,ProximalGradientScrRlx_time_sopt,ProximalGradientScrRlx_time_cost,ProximalGradientScrRlx_iter_sopt,ProximalGradientScrRlx_iter_cost
0.01,0,0.005025841006059988,500000.0,0.013851481427308188,500000.0,0.004976104759182737,492345.0,0.013851481427308378,500000.0,0.005022944741591941,499955.0,0.013851481427309324,499995.0,0.0047306556012019696,492015.1515151515,0.013873262952859091,499994.9494949495
0.010722672220103232,2,0.004676291914329816,500000.0,0.005518261776596935,500000.0,0.004761034584490559,487690.0,0.005518261776597125,496430.0,0.004559281829933407,499925.0,0.0055191080409085335,499945.0,0.004643402617566575,491277.77777777775,0.0055222305366482574,496272.7272727273
0.011497569953977356,4,0.004451584702207661,500000.0,0.00269338629835017,500000.0,0.00444827937957956,485825.0,0.0035685921872582876,468340.0,0.004239682437607515,499925.0,0.003239503381854246,500145.0,0.004223939454538326,487469.69696969696,0.0023045048604580,468671.71717171714
0.012328467394420659,6,0.004083414137547468,500000.0,0.0012709909450848544,500000.0,0.004037622319969491,482655.0,0.004162307726010179,360710.0,0.003926984336533079,499840.0,0.002166132689194655,501940.0,0.004227704215760696,482393.9393939394,0.0014266904097664872,353303.0303030303
0.013219411484660288,8,0.0036252289840983413,500000.0,0.0006156460634042848,500000.0,0.0038361827164364033,473410.0,0.0008155322961399705,229535.0,0.0036707055883468155,499815.0,0.00107152192989534,523360.0,0.004018227298879854,476868.68686868687,9.142065046329857e-06,247075.75757575757
0.014174741629268055,10,0.0032944463457549337,500000.0,0.00026348738112362297,500000.0,0.003755005359607713,469410.0,0.00015666386657508483,113345.0,0.0034738696755851122,500145.0,0.00029144665841499993,567505.0,0.0035931714928746847,464732.3232323232,2.8748150618713228e-06,188323.2323232323
0.01519911082952934,12,0.002912290121487286,500000.0,0.00012146588875692643,500000.0,0.003377807608461496,459615.0,4.607924408665809e-05,71300.0,0.003254404216494265,500100.0,6.360708653960281e-05,660200.0,0.003421885603047337,456358.58585858584,6.037850543631019e-07,261050.50505050505
0.016297508346206444,14,0.0026485813395589856,500000.0,5.093531016530456e-05,500000.0,0.0031805434730627614,447735.0,2.1143170307397485e-05,58405.0,0.003026716632827337,499990.0,2.039963774890033e-05,774660.0,0.0035321657245709188,443489.89898989897,3.5313395871765e-08,369151.51515151514
0.01747528400007684,16,0.002315649919452518,500000.0,2.762497809666406e-05,500000.0,0.003184606916339282,426265.0,8.755867777954507e-06,51245.0,0.0027104563378136924,500335.0,3.287685502353782e-06,890205.0,0.003298991940346052,415080.8080808081,6.286741863344173e-11,505080.8080808081
0.01873817422860384,18,0.002028213737210013,500000.0,1.4255964402152265e-05,500000.0,0.0032508635869213714,416470.0,3.353107683086026e-06,46710.0,0.0025462115110142353,500335.0,2.923659934188361e-07,1015970.0,0.0031587037480682,400878.7878787879,2.5933898687357286e-13,599808.0808080808
0.02009233002565047,20,0.0017383839106744632,500000.0,7.409088476406367e-06,500000.0,0.003431995037966479,391980.0,1.37678116678544e-06,44820.0,0.0023046318887816643,500595.0,2.2754896451815388e-09,1087095.0,0.002958548195813131,380944.44444444444,2.220446049250313e-18,652484.8484848485
0.021544346900318846,22,0.0015485625294515883,500000.0,3.79013001456277e-06,500000.0,0.0034358810426015542,361850.0,6.419644870442331e-07,43665.0,0.0023581609146139295,501180.0,2.220446049250313e-18,1124165.0,0.0027553432806259014,360464.64646464644,,
0.023101297000831605,24,0.00133389692341807,500000.0,1.8991251742864202e-06,500000.0,0.002790456791827749,329270.0,2.884758126633913e-07,42890.0,0.0019234796020444716,502510.0,,,0.002537032070060856,340954.54545454547,,
0.024770763559917114,26,0.0011274982415199431,500000.0,1.129660493894985e-06,500000.0,0.0025614976534976174,297390.0,1.9655904418741656e-07,42410.0,0.0017505282536120252,505880.0,,,0.0019784614467686433,328651.51515151514,,
0.026560877829466867,28,0.0009092786179152267,500000.0,1.0483070396903604e-06,500000.0,0.001513658360751626,253345.0,1.0091027323702595e-07,42110.0,0.0014760691659405,507940.0,,,0.0014687186358147007,312691.9191919192,,
0.02848035868435802,30,0.0007690951331402393,500000.0,9.705138798032919e-07,500000.0,0.0009370810829564955,213900.0,5.273405002323428e-08,41895.0,0.0010219186773290018,518665.0,,,0.0007212593064564517,292474.7474747475,,
0.030538555088334154,32,0.0006408320156721818,500000.0,8.690729793520147e-07,500000.0,0.0003906382066329188,158395.0,3.774209944018558e-08,41750.0,0.0007931762847549383,527410.0,,,0.0005005951470803961,313323.23232323234,,
0.03274549162877728,34,0.0005363121911557036,500000.0,5.949888131825953e-07,500000.0,0.00021966096753958526,119490.0,4.150221387194675e-08,41685.0,0.0005129134397193593,539260.0,,,0.00019141135362632833,326585.8585858586,,
0.03511191734215131,36,0.0004184949807343141,500000.0,4.419202386672649e-07,500000.0,0.00010140817256911766,85560.0,1.025323637743325e-08,41605.0,0.0002601100627842795,558225.0,,,0.0001067768307560252,386969.69696969696,,
0.037649358067924674,38,0.00031863916894562014,500000.0,2.4662867108712907e-07,500000.0,6.38060915597756e-05,69900.0,7.427153408956499e-09,41555.0,0.00020184887903385726,594545.0,,,4.092377468651929e-05,451242.42424242425,,
