iter,time,pg_iter_gval,pg_iter_cost,pg_time_gval,pgs_iter_gval,pgs_iter_cost,pgs_time_gval,pgss_iter_gval,pgss_iter_cost,pgss_time_gval
1.0,0.0001,48.960299920253746,95500.0,48.960299920253746,48.960299920253746,95500.0,48.960299920253746,48.960299920253746,95500.0,48.960299920253746
2.0,0.00010069386314760271,23.178892789935787,95500.0,48.960299920253746,23.178892789935787,95500.0,48.960299920253746,23.178892789935787,95500.0,48.960299920253746
3.0,0.00010139254075588153,10.431808688204065,95500.0,48.960299920253746,10.431808688204065,95500.0,48.960299920253746,10.431808688204065,95500.0,48.960299920253746
4.0,0.00010209606623060465,4.783608081221864,95500.0,48.960299920253746,4.783608081221864,95500.0,48.960299920253746,4.783608081221864,95500.0,48.960299920253746
5.0,0.00010280447320933097,2.394037436269805,95500.0,48.960299920253746,2.394037436269805,95500.0,48.960299920253746,2.394037436269805,95500.0,48.960299920253746
6.0,0.00010351779556301762,1.3895836069069247,95500.0,48.960299920253746,1.3895836069069247,95500.0,48.960299920253746,1.3895836069069247,95500.0,48.960299920253746
7.0,0.00010423606739764012,0.8741969340683582,95500.0,48.960299920253746,0.8741969340683582,76856.0,48.960299920253746,0.8741969340683582,76856.0,48.960299920253746
8.0,0.00010495932305582277,0.5451554089564681,95500.0,48.960299920253746,0.5451554089564823,55368.0,48.960299920253746,0.5451554089564823,55368.0,48.960299920253746
9.0,0.0001056875971184804,0.23904758737423037,95500.0,48.960299920253746,0.23904758737423037,37988.0,48.960299920253746,0.23904758737423037,37988.0,48.960299920253746
10.0,0.00010642092440647246,0.09757444034947582,95500.0,48.960299920253746,0.09757444034947582,23768.0,48.960299920253746,0.09757444034947582,23768.0,48.960299920253746
11.0,0.00010715933998226712,0.07783840563310918,95500.0,48.960299920253746,0.07783840563310918,14920.0,48.960299920253746,0.034592998245692286,14912.0,48.960299920253746
12.0,0.00010790287915161836,0.10149585339235045,95500.0,48.960299920253746,0.10149585339234335,13972.0,48.960299920253746,0.03738582006404556,12438.0,48.960299920253746
13.0,0.00010865157746525384,0.12551903130042774,95500.0,48.960299920253746,0.12551903130042774,13972.0,48.960299920253746,0.05944279523555451,12438.0,48.960299920253746
14.0,0.00010940547072057424,0.13231480917789185,95500.0,48.960299920253746,0.13231480917789185,13972.0,48.960299920253746,0.06801901777086528,12438.0,48.960299920253746
15.0,0.0001101645949633657,0.11680574123026588,95500.0,48.960299920253746,0.11680574123025167,13972.0,48.960299920253746,0.05655506771052643,12438.0,48.960299920253746
16.0,0.00011092898648952228,0.08720371260668713,95500.0,48.960299920253746,0.08720371260669424,13972.0,48.960299920253746,0.0362626388802596,12438.0,48.960299920253746
17.0,0.00011169868184678226,0.05658293254236213,95500.0,48.960299920253746,0.05658293254236213,13972.0,48.960299920253746,0.02055609169934769,12438.0,48.960299920253746
18.0,0.00011247371783647519,0.03505542942707507,95500.0,48.960299920253746,0.03505542942707507,12076.0,48.960299920253746,0.014677812143425228,11174.0,48.960299920253746
19.0,0.00011325413151528115,0.02527773454010429,95500.0,48.960299920253746,0.025277734540097185,9864.0,48.960299920253746,0.015147446521986296,10542.0,48.960299920253746
20.0,0.00011403996019700331,0.023693745466928817,95500.0,48.960299920253746,0.023693745466928817,8916.0,48.960299920253746,0.01566702197669656,10542.0,48.960299920253746
21.0,0.00011483124145435111,0.024397524895256595,95500.0,48.960299920253746,0.0243975248952637,8916.0,48.960299920253746,0.013564097221667737,10542.0,48.960299920253746
22.0,0.00011562801312073754,0.02342317812689032,95500.0,48.960299920253746,0.02342317812689032,8916.0,48.960299920253746,0.009493455060081146,10226.0,48.960299920253746
23.0,0.00011643031329208767,0.021213317798128628,95500.0,48.960299920253746,0.021213317798121523,8284.0,48.960299920253746,0.006310313345295526,9278.0,48.960299920253746
24.0,0.00011723818032865986,0.018280612329768076,95500.0,48.960299920253746,0.018280612329768076,8284.0,48.960299920253746,0.005705783378317619,8962.0,48.960299920253746
25.0,0.00011805165285688056,0.015586507423293483,95500.0,48.960299920253746,0.015586507423286378,7968.0,48.960299920253746,0.006875077501568683,8646.0,48.960299920253746
26.0,0.00011887076977119033,0.013278454871162637,95500.0,48.960299920253746,0.011746918873039261,7336.0,48.960299920253746,0.007715205815294723,8646.0,48.960299920253746
27.0,0.00011969557023590428,0.011089677584699587,95500.0,48.960299920253746,0.0070898999581859735,7336.0,48.960299920253746,0.0068885459978602626,8646.0,48.960299920253746
28.0,0.00012052609368708426,0.008860499785910747,95500.0,48.960299920253746,0.008710472707450454,7336.0,48.960299920253746,0.004177040695680034,11352.0,48.960299920253746
29.0,0.00012136237983442405,0.007108289629101705,95500.0,48.960299920253746,0.0042737381844428395,6388.0,48.960299920253746,0.0006045555397733438,18962.0,48.960299920253746
30.0,0.00012220446866314887,0.00635225961580943,95500.0,48.960299920253746,0.003961926091232561,6388.0,48.960299920253746,0.0007848586637422272,23550.0,48.960299920253746
31.0,0.00012305240043592616,0.00675767797496718,95500.0,48.960299920253746,0.004727033912342888,6388.0,48.960299920253746,0.0012841005039376796,23550.0,48.960299920253746
32.0,0.00012390621569479155,0.007678168300884636,95500.0,48.960299920253746,0.007666191564175035,6388.0,48.960299920253746,0.001624810435821189,23550.0,48.960299920253746
33.0,0.00012476595526308696,0.008077097230980712,95500.0,48.960299920253746,0.005348748738744535,6388.0,48.960299920253746,0.0015789336803919696,23550.0,48.960299920253746
34.0,0.00012563166024741202,0.007235112669839339,95500.0,48.960299920253746,0.004337235519394642,6388.0,48.960299920253746,0.0012047545291125061,23550.0,48.960299920253746
